用例名称,优先级,前置条件,步骤描述,预期结果
任务管理-更多-批量删除：批量删除工作项（丢失项目查看权限）,P2,"1、存在成员A有项目A-任务查看和删除权限
2、存在视图A下有如下工作项：
     任务标题：  -ONES           状态：未开始
     任务标题：  -ONES API     状态：进行中
     子任务标题：  --yes         状态：未开始
3、成员A进入更多-批量删除-进入批量删除：选择工作项页面（异步移除成员A查看项目权限）","#1、勾选ONES、ONES API
2、点击「下一步」 ，点击「确认」
3、点击「确认」
#点击查看详情","#出现进度管理器，提示：2个工作项未能成功批量删除
#出现执行结果弹窗：
删除了 0 个工作项, 删除失败 2 个工作项。
批量删除失败: 2个工作项
你没有查看项目权限，请联系管理员。（1）
ID ONES ...
ID ONES API ..."
任务管理-更多-批量删除：批量删除工作项（丢失部分工作项查看权限）,P2,"1、任务存在工作项属性：单选成员，且任务查看权限域：单选成员
2、存在视图A下有如下工作项且单选成员属性设置「成员A」：
     任务标题：  -ONES           状态：未开始
     任务标题：  -ONES API     状态：进行中
     子任务标题：  --yes         状态：未开始
3、成员A进入更多-批量删除-进入批量删除：选择工作项页面（异步修改ONES单选成员「成员B」）","#1、勾选ONES、ONES API
2、点击「下一步」 ，点击「确认」
3、点击「确认」
#点击查看详情","#出现进度管理器，提示：1个工作项未能成功批量删除
#出现执行结果弹窗：
删除了 1 个工作项, 删除失败 1 个工作项。
批量删除失败: 1个工作项
你没有查看工作项的权限，请联系管理员。（1）
ID ONES ..."
任务管理-更多-批量删除：项目管理员批量删除工作项（项目已归档）,P2,"1、成员A项目A的项目管理员
2、存在视图A下有如下工作项：
     任务标题：  -ONES           状态：未开始
     任务标题：  -ONES API     状态：进行中
     子任务标题：  --yes         状态：未开始
3、成员A进入更多-批量删除-进入批量删除：选择工作项页面（项目A已归档）","#1、勾选ONES、ONES API
2、点击「下一步」 ，点击「确认」
3、点击「确认」
#点击查看详情","#出现进度管理器，提示：全部批量删除成功
#出现执行结果弹窗：
批量删除完成！
删除了2个工作项"
任务管理-更多-批量删除：批量删除工作项（项目已删除）,P2,"1、成员A项目A的普通成员，拥有查看、创建工作项的权限
2、存在视图A下有如下工作项：
     任务标题：  -ONES           状态：未开始
     任务标题：  -ONES API     状态：进行中
     子任务标题：  --yes         状态：未开始
3、成员A进入更多-批量删除-进入批量删除：选择工作项页面（项目A已删除）","#1、勾选ONES、ONES API
2、点击「下一步」 ，点击「确认」
3、点击「确认」
#点击查看详情","#出现进度管理器，提示：2个工作项未能成功批量删除
#出现执行结果弹窗：
删除了 0 个工作项, 删除失败 2 个工作项。
批量删除失败: 2个工作项
工作项不存在（2）
ID ONES ...
ID ONES API ..."
任务管理-更多-批量删除：普通成员批量删除工作项（项目已归档）,P2,"1、成员A项目A的普通成员，拥有查看、创建工作项的权限
2、存在视图A下有如下工作项：
     任务标题：  -ONES           状态：未开始
     任务标题：  -ONES API     状态：进行中
     子任务标题：  --yes         状态：未开始
3、成员A进入更多-批量删除-进入批量删除：选择工作项页面（项目A已归档）","#1、勾选ONES、ONES API
2、点击「下一步」 ，点击「确认」
3、点击「确认」
#点击查看详情","#出现进度管理器，提示：2个工作项未能成功批量删除
#出现执行结果弹窗：
删除了 0 个工作项, 删除失败 2 个工作项。
批量删除失败: 2个工作项
项目已被归档，故修改失败。（2）
ID ONES ...
ID ONES API ..."
任务管理-更多-批量删除：批量删除工作项（丢失部分工作项删除权限）,P2,"1、任务存在工作项属性：单选成员，且任务删除权限域：单选成员
2、存在视图A下有如下工作项且单选成员属性设置「成员A」：
     任务标题：  -ONES           状态：未开始
     任务标题：  -ONES API     状态：进行中
     子任务标题：  --yes         状态：未开始
3、成员A进入更多-批量删除-进入批量删除：选择工作项页面（异步修改ONES单选成员「成员B」）","#1、勾选ONES、ONES API
2、点击「下一步」 ，点击「确认」
3、点击「确认」
#点击查看详情","#出现进度管理器，提示：1个工作项未能成功批量删除
#出现执行结果弹窗：
删除了 2 个工作项, 删除失败 1 个工作项。
批量删除失败: 1个工作项
你没有删除工作项的权限，请联系管理员。（1）
ID ONES ..."
任务管理-更多-批量删除：批量删除工作项（存在工作项已被删除）,P2,"1、拥有查看、创建工作项的权限或超级管理员权限
2、存在视图A下有如下工作项：
     任务标题：  -ONES           状态：未开始
     任务标题：  -ONES API     状态：进行中
     子任务标题：  --yes         状态：未开始
3、进入更多-批量删除-进入批量删除：选择工作项页面（ONES已被删除）","#1、勾选ONES、ONES API
2、点击「下一步」 ，点击「确认」
3、点击「确认」
#点击查看详情","#出现进度管理器，提示：1个工作项未能成功批量删除
#出现执行结果弹窗：
删除了 2 个工作项, 删除失败 1 个工作项。
批量删除失败: 1个工作项
工作项不存在（1）
ID ONES ..."
任务管理-批量移动：批量移动后检查工作项进度,P2,"1、项目A-任务组件下存在批量移动过来的工作项A，状态由未开始变成了已完成
2、任务存在周期与进度组件
3、成员A进入项目A-任务组件下（成员A有查看所有工作项的权限）",#成员A查看工作项A的进度,#100%
任务管理-导入工作项-进度管理器：切换团队,P3,"1.多团队模式下，存在团队A、团队B
2.成员A有工作项导入权限","#在团队A中，任选项目和工作项类型，导入文件
#切换到团队B","#导入完成，左下角展示进度管理器
#左下角不展示进度管理器"
模板规范/说明：检查导入任务弹窗内容,P2,"点击导入工作项，进入导入工作项弹窗
设置多选项目属性「属性A」为必填项，项目A、项目C有查看权限，项目B无查看权限","#检查导入工作项弹窗「模板填写说明」的预估工时属性
#检查导入工作项弹窗「模板填写说明」的多选项目属性","#显示文案：
可选项。填写一个数值，如12，则默认在计划开始日期、计划完成日期的时间段内，合计预估投入12小时或人天（根据系统内工时的默认单位）。 如工作项未填写计划开始日期、计划完成日期，则预估工时日期记为未规划。
#说明列表中，显示：
-工作项属性值列显示：「属性A」
-工作项类型：当前工作项
-填写说名：必填项。可选值：项目A、项目C"
导入-属性匹配-预估工时：简单模式,P2,"导入的工作项文件中，计划开始日期2021-08-03，计划完成日期2021-08-07
预估工时：20小时
成功导入文件",#检查周期与工时信息,"#1.周期与进度显示导入文件中的计划开始日期和计划完成日期
2.预估工时显示为：20小时
3.工时：暂无工时记录"
导入-属性匹配-预估工时：汇总模式下，导入计划开始日期或计划完成日期不正确，预估工时显示为未规划,P2,"导入工作项文件中，添加多条工作项，计划开始时间和计划完成时间组合如下
预估工时：15 小时
工作项A：2021-08-03，空
工作项B：空，2021-07-21
工作项C：空，空
工作项D：2021-07-21，2020-06-09
文件导入成功","#检查工作项A的周期和工时信息
#检查工作项B的周期和工时信息
#检查工作项C的周期和工时信息
#检查工作项D的周期和工时信息","#1.周期与进度显示：计划开始日期 2021-08-03，计划完成日期为空
2.工时信息显示，预估工时 15 小时，成员预估工时合计 15小时，未规划日期
#1.周期与进度显示：计划开始日期为空 ，计划完成日期 2021-07-21
2.工时信息显示，预估工时 15 小时，成员预估工时合计 15小时，未规划日期
#1.周期与进度显示：计划开始日期 为空，计划完成日期为空
2.工时信息显示，预估工时 15 小时，成员预估工时合计 15小时，未规划日期
#1.周期与进度显示：计划开始日期 2021-07-21，计划完成日期为空
2.工时信-预估工时： 15 小时
3.成员预估工时合计 15 小时，未规划日期"
导入-属性匹配-预估工时：汇总模式下，预估工时记为日期段内的合计工时,P2,"成员A导入的工作项文件中，计划开始日期2021-08-03，计划完成日期2021-08-05
预估工时：10小时
成功导入文件",#检查成员A周期与工时信息,"#1.周期与进度显示导入文件中的计划开始日期和计划完成日期
2.预估工时显示为：10小时
2.成员工时显示：成员合计预估工时 10小时，且按照计划开始日期和计划完成日期，规划每日预计投入时间 3.33 小时"
导入-属性匹配-多选项目属性：导入属性值包含没有查看权限的选项，导入失败,P3,导入文件中，该属性值全部有查看权限：项目A、项目B、项目C（无查看权限）,"#1.点击上传文件
#下载失败文件，检查文件内容","#导入失败，进度管理器中，显示「有x工作项未能成功批量导入」
#详情中「执行项目」属性及属性值标识红色字体"
导入-属性匹配-多选项目属性：导入属性值全部有查看权限，导入成功,P3,导入文件中，该属性值全部有查看权限：项目A、项目B,"#1.点击上传文件
#检查工作项详情","#系统提示：1个工作项未批量导入成功
#工作项组件下增加一个工作项，详情中「执行项目」属性值显示：项目A、项目B"
导入-属性匹配-多选项目属性：默认值不全是当前成员有查看权限的属性值，导入属性值为空，导入成功,P3,"设置「执行项目」默认值：项目A、项目B、项目C（无查看权限）
导入文件中，该属性值为空","#1.点击上传文件
#检查工作项详情","#系统提示：1个工作项未批量导入成功
#工作项组件下增加一个工作项，详情中「执行项目」属性值显示：项目A、项目B"
导入-属性匹配-多选项目属性：默认值全部为当前成员有查看权限的属性值，导入属性值为空，导入成功,P3,"设置「执行项目」默认值全部为当前成员有查看权限的属性
导入文件中，该属性值为空","#1.点击上传文件
#检查工作项详情","#系统提示：1个工作项未批量导入成功
#工作项组件下增加一个工作项，详情中「执行项目」属性值显示为默认值"
选择属性：表头导出内容检查,P3,"已存在多选项目类型属性：「属性A」
进入导出工作项的「选择表头导出内容」弹窗","#检查工作项自定义属性
#检查工作项系统属性","#展示该工作项已添加的自定义属性，包含多选项目属性「属性A」
#展示该工作项的系统属性"
工作项-导出关联工作项：工作项无关联工作项，勾选“导出关联工作项”时，仅导出工作项,P2,"1、工作项项下仅有一条工作项数据，且没有关联工作项
2、项目A-工作项A-更多-导出工作项",#在导出工作项弹框，勾选“导出关联工作项”，并确定导出,#仅一条工作项数据
工作项-导出关联工作项：关联工作项有导出权限,P1,"1、有“项目”下工作项导出权限
2、操作路径：项目A-工作项-更多按钮-导出工作项-“选择表头导出内容”弹框",#在导出弹框勾选“导出关联工作项”，并“确认”导出,#导出结果包含标题、关联关系、关联方、属性
工作项-导出关联工作项：没有有导出关联工作项权限（有配置中心导出权限，无项目的导出权限）,P1,"1、该用户不是超级管理员
2、有配置中心导出权限，无项目的导出权限
3、操作路径：项目A-工作项-更多按钮-导出工作项-“选择表头导出内容”弹框",#在导出弹框勾选“导出关联工作项”，并“确认”导出,#导出时，不会导出关联工作项的标题、关联关系、关联方、属性
工作项-导出关联工作项：有导出关联工作项权限（没有配置中心导出权限，有项目中的导出权限）,P1,"1、该用户不是超级管理员
2、没有配置中心导出权限，有项目的导出权限
3、操作路径：项目A-工作项-更多按钮-导出工作项-“选择表头导出内容”弹框",#在导出弹框勾选“导出关联工作项”，并“确认”导出,"#1、有关联工作项导出权限
2、会导出关联工作项的标题、关联关系、关联方、属性"
工作项-导出关联工作项：关联工作项无配置权限,P2,"1、无配置中心权限、无项目下的导出权限，也不是超管
2、操作路径：项目A-工作项-更多按钮-导出工作项-“选择表头导出内容”弹框",#在导出弹框勾选“导出关联工作项”，并“确认”导出,"#1、无关联工作项导出权限
2、不会导出关联工作项的标题、关联关系、关联方、属性
3、其他有导出权限的关联工作项，可以正常导出"
工作项-导出关联工作项：有导出关联工作项权限（既有配置中心该工作项的导出权限，也有项目中的导出权限）,P1,"1、该用户不是超级管理员
2、该工作项即有有配置中心该工作项的导出权限，也有项目设置中的工作项导出权限
3、操作路径：项目A-工作项-更多按钮-导出工作项-“选择表头导出内容”弹框",#在导出弹框勾选“导出关联工作项”，并“确认”导出,"#1、有关联工作项导出权限
2、会导出关联工作项的标题、关联关系、关联方、属性"
工作项-导出关联工作项：有超级管理员权限，也有导出权限,P2,"1、用户为超级管理员身份
2、有配置中心该工作项的导出权限
3、也有项目中的该工作项导出权限
4、操作路径：项目A-工作项-更多按钮-导出工作项-“选择表头导出内容”弹框",#在导出弹框勾选“导出关联工作项”，并“确认”导出,"#1、超管一直有关联工作项导出权限
2、会导出关联工作项的标题、关联关系、关联方、属性"
工作项-导出关联工作项：有超级管理员权限，无配置中心导出权限,P2,"1、用户为超级管理员身份
2、无配置中心该工作项的导出权限
3、有项目中的该工作项导出权限
4、操作路径：项目A-工作项-更多按钮-导出工作项-“选择表头导出内容”弹框",#在导出弹框勾选“导出关联工作项”，并“确认”导出,"#1、超管一直有关联工作项导出权限
2、会导出关联工作项的标题、关联关系、关联方、属性"
工作项-导出关联工作项：有超级管理员权限，无项目导出权限,P2,"1、用户为超级管理员身份
2、有配置中心该工作项的导出权限
3、无项目中的该工作项导出权限
4、操作路径：项目A-工作项-更多按钮-导出工作项-“选择表头导出内容”弹框",#在导出弹框勾选“导出关联工作项”，并“确认”导出,"#1、超管一直有关联工作项导出权限
2、会导出关联工作项的标题、关联关系、关联方、属性"
工作项-导出关联工作项：有超级管理员权限，无项目和配置中心的导出权限,P2,"1、用户为超级管理员身份
2、无配置中心该工作项的导出权限
3、无项目下的该工作项导出权限
4、操作路径：项目A-工作项-更多按钮-导出工作项-“选择表头导出内容”弹框",#在导出弹框勾选“导出关联工作项”，并“确认”导出,"#1、超管一直有关联工作项导出权限
2、会导出关联工作项的标题、关联关系、关联方、属性"
工作项-导出关联工作项：导出的设置过程中，删除“关联工作项”,P1,"1、分别打开两个浏览器
2、两个用户同时操作：
     用户A在导出关联工作项时，在导出页面停留；
     用户B删除了关联工作项
3、操作路径：项目A-工作项-更多按钮-导出工作项-“选择表头导出内容”弹框",#用户A勾选了“导出关联工作项，并点击“确认”导出,#导出内容关联工作项不存在
工作项-导出关联工作项：导出的设置过程中，删除“关联工作项”导出权限,P1,"1、用户A原本有该“工作项”的导出权限
2、两个用户同时操作：
     用户A在导出关联工作项时，在导出页面停留；
     用户B删除了用户A的关联工作项的导出权限
3、操作路径：项目A-工作项-更多按钮-导出工作项-“选择表头导出内容”弹框",#用户勾选了“导出关联工作项”，并点击“确认”导出,#导出的数据，不包含没有导出权限的关联工作项
工作项-导出关联工作项：导出的设置过程中，修改关联工作项属性,P1,"1、分别打开两个浏览器
2、两个用户同时操作：
     用户A在导出关联工作项时，在导出页面停留；
     用户B在关联工作项，新增了属性
3、操作路径：项目A-工作项-更多按钮-导出工作项-“选择表头导出内容”弹框","#用户勾选了“导出关联工作项”，并点击“确认”导出按钮
#用户A已经打开了导出弹框，用户B修改了属性，用户A点击“确认”导出按钮","#导出结果包含新增属性
#导出结果为修改后的属性"
工作项-导出关联工作项：关联工作项的属性个数最大值,P2,项目设置-任务-属性与视图-编辑全局视图，不断添加自定义属性，添加30、60个属性等以上,#关联一个有很多属性的关联工作项，并导出,#导出的工作项自定义属性和工作项系统属性都没有个数限制，都显示所有的属性
工作项-导出关联工作项：导出工作项的属性值检查,P1,"1、自定义属性、系统属性、项目属性都有值
2、操作路径：我的工作台-筛选器-更多按钮-导出工作项-“选择表头导出内容”弹框","#导出时勾选全部属性
#导出时仅勾选一部分属性（部分属性）
#导出时都不勾选","#导出的自定义属性和系统属性、项目属性值，跟关联工作项的属性值一致
#导出的自定义属性和系统属性、项目属性值，被勾选过的属性，能正确显示对应值
#1、默认勾选了“标题”
2、导出时仅有标题属性，其他属性不展示"
工作项-导出关联工作项：关联工作项的属性排序，排到第一个,P1,"1、需求组件，有“需求提出部门”属性
2、在缺陷组件的工作项中关联任意的需求组件","#导出缺陷工作项时，勾选“导出关联工作项”
#导出弹框右侧“已选属性”，把“需求提出部门”排在第一个，并确认导出","#导出弹框，自定义属性新增“需求提出部门”
#导出csv文件，该关联工作项的""需求提出部门""排序第一个"
工作项-导出关联工作项：关联工作项的属性排序，排到最后一个,P1,"1、需求组件，有“需求提出部门”属性
2、在缺陷组件的工作项中关联任意的需求组件","#勾选“导出关联工作项”有新增系统属性时，对关联工作项的属性进行排序，排在最后一个
#导出弹框右侧“已选属性”，把“需求提出部门”排在最后一个，并确认导出","#导出数据中关联工作项的最后一个属性是排序时设置的属性
#导出csv文件，该关联工作项的""需求提出部门""排序最后一个"
工作项-导出关联工作项：关联工作项的属性排序，排到中间任意位置,P1,"1、需求组件，有“需求提出部门”属性
2、在缺陷组件的工作项中关联任意的需求组件","#导出缺陷工作项时，勾选“导出关联工作项”
#导出弹框右侧“已选属性”，把“需求提出部门”排在中间任意位置，并确认导出","#导出弹框，自定义属性新增“需求提出部门”
#导出csv文件，该关联工作项的""需求提出部门""排序为设置时的排序为主"
工作项-导出关联工作项：导出的设置过程中，新增关联工作项,P1,"1、同时打开两个浏览器
2、两个用户同时操作：
     用户A在导出关联工作项时，在导出页面停留；
     用户B新增了关联工作项
3、操作路径：项目A-工作项-更多按钮-导出工作项-“选择表头导出内容”弹框",#在任意组件导出工作项，并且勾选“导出关联工作项”，点击“确认”导出,#导出的数据包含新增的关联工作项
工作项-导出关联工作项：关联工作项的属性设置为置顶,P2,在导出弹框，勾选“导出关联工作项”，并且有新增系统属性A,"#1、勾选“导出关联工作项”
2、置顶属性A
#换个属性B，再次点击置顶","#1、属性A置顶
2、导出数据中第一个值是属性A
#1、新属性B排到第一个，旧的置顶属性A排到第二个
2、导出数据中关联工作项的属性顺序，第一个是新置顶的属性B，第二个是旧的置顶的属性A"
工作项-导出关联工作项：删除关联工作项的属性,P1,"1、操作路径：我的工作台-筛选器-更多按钮-导出工作项-“选择表头导出内容”弹框
2、在导出弹框，勾选“导出关联工作项”，并且有新增系统属性A",#勾选“导出关联工作项”有新增系统属性时，对关联工作项的属性A进行删除,"#1、该属性A立马在排序列表中消失
2、已选属性总个数减1
3、导出数据中关联工作项的属性，不包含此属性A"
工作项-导出关联工作项：导出的设置过程中，其他用户修改“关联工作项”内容,P2,"1、同时打开两个浏览器
2、两个用户同时操作：
     用户A在导出关联工作项时，在导出页面停留；
     用户B修改了关联工作项内容
3、操作路径：项目A-工作项-更多按钮-导出工作项-“选择表头导出内容”弹框","#用户B修改“关联工作项”的标题
#用户B修改“关联工作项”的属性值
#用户B在“关联工作项”新增了属性
#用户B“关联工作项”删除了属性
#用户B修改了“关联工作项”的属性名称","#受影响，按照最新的设置导出；标题以最新的为主
#受影响，按照最新的设置导出；属性值更新为最新的
#受影响，按照最新的设置导出，导出数据有新增属性
#受影响，按照最新的设置导出，删除的属性不显示
#受影响，按照最新的设置导出，按最新的属性名称"
工作项-导出关联工作项：导出的设置过程中，重命名“关联关系”,P2,"1、分别打开两个浏览器
2、两个用户同时操作：
     用户A在导出关联工作项时，在导出页面停留；
     用户B重命名了关联工作项中的关联关系名称
3、操作路径：项目A-工作项-更多按钮-导出工作项-“选择表头导出内容”弹框",#用户A勾选了“导出关联工作项”，并点击“确认”按钮,#受影响，按照最新的关联关系名称导出
工作项-导出关联工作项：导出的设置过程中，删除关联工作项的查看权限,P2,"1、分别打开两个浏览器
2、两个用户同时操作：
     用户A在导出关联工作项时，在导出页面停留；
     用户B删除了用户A的关联工作项的查看权限
3、 用户A进入项目A-工作项-更多按钮-导出工作项-“选择表头导出内容”弹框",#导出关联工作项，并查看导出结果,#受影响，不会导出该关联工作项
工作项-导出关联工作项：关联工作项含有子工作项，子工作项不会导出,P1,"1、关联工作项含有子工作项
2、操作路径：项目A-工作项-更多按钮-导出工作项-“选择表头导出内容”弹框",#勾选“导出关联工作项”，并确认导出,#子工作项不会导出
工作项-导出关联工作项：关联工作项含有父工作项，父工作项不会导出,P1,"1、关联工作项含有父工作项
2、操作路径：项目A-工作项-更多按钮-导出工作项-“选择表头导出内容”弹框",#勾选“导出关联工作项”，并确认导出,#父工作项不会导出
工作项-导出关联工作项：导出过程中，新增修改关联工作项,P1,"1、导出的工程中，csv文件未完全生成时，修改关联工作项数据
2、操作路径：项目A-工作项-更多按钮-导出工作项-“选择表头导出内容”弹框","#已经点击了导出确认，但是修改了关联工作项，包含新增操作
#已经点击了导出确认，但是修改了关联工作项，包含修改操作
#已经点击了导出确认，但是修改了关联工作项，包含删除操作","#导出服务查询之前则不影响，在导出服务查询之前则影响，按最新数据显示
#在导出服务查询之前则不影响，在导出服务查询之前则影响，按最新数据显示
#不受影响，按导出前的数据处理"
工作项-导出关联工作项：导出过程中，网络中断,P2,"1、导出的工程中，csv文件未完全生成时，网络中断
2、操作路径：项目A-工作项-更多按钮-导出工作项-“选择表头导出内容”弹框",#导出时，切断网络,#服务端有相关提示（具体文案待定）
工作项-导出关联工作项：验证语言,P2,"1、个人中心-语言设置-设置为英文
2、操作路径：项目A-工作项-更多按钮-导出工作项-“选择表头导出内容”弹框","#设置系统语言为英文，查看翻译
#设置系统语言为英文，查看页面样式","#翻译正确
#样式符合ui设计标准"
工作项-导出关联工作项：导出的设置过程中，删除项目的查看权限,P2,"1、分别打开两个浏览器
2、两个用户同时操作：
     用户A在导出关联工作项时，在导出页面停留；
     用户B删除了用户A的项目查看权限
3、 用户A进入项目A-工作项-更多按钮-导出工作项-“选择表头导出内容”弹框",#导出关联工作项，并查看导出结果,#受影响，不会导出该关联工作项
工作项-导出关联工作项：导出的数据内容,P0,"1、用户拥有关联工作项「导出工作项列表」权限
2、进入项目A-工作项-更多按钮-导出工作项-“选择表头导出内容”弹框","#选择一个有关联工作项的数据，选择导出，查看关联工作项数据
#查看该工作项的数据","#1、关联工作项的导出数据包含标题、关联方、关联关系、各种属性
#该工作项的关联方、关联关系都为空（仅关联工作项才有这两个字段值）"
工作项-导出关联工作项：导出关联关系为“工单转需求”的关联工作项,P1,"1、用户拥有需求工作项「导出工作项列表」权限
2、数据准备：一个工单工作项关联工作项时，选择关联关系为“工单转需求”
3、进入项目A-工单工作项-更多按钮-导出工作项-“选择表头导出内容”弹框",#选择一个工作项，关联工作项时关联关系选择“工单转需求”；关联成功后，再去导出工作项列表,#导出的该条数据关联关系是：工单转需求
工作项-导出关联工作项：导出关联关系为“关联”的关联工作项,P1,"1、用户拥有关联工作项「导出工作项列表」权限
2、数据准备：一个工作项关联工作项时，选择关联关系为“关联”
3、进入项目A-工作项-更多按钮-导出工作项-“选择表头导出内容”弹框",#在导出弹框，勾选“导出关联工作项”，并确认导出,#导出文件，该条工作项的关联关系为“关联”
工作项-导出关联工作项：导出关联关系为“合并”的关联工作项,P1,"1、用户拥有需求工作项「导出工作项列表」权限
2、数据准备：一个工单工作项关联工作项时，选择关联关系为“合并”
3、进入项目A-工单工作项-更多按钮-导出工作项-“选择表头导出内容”弹框",#在导出弹框，勾选“导出关联工作项”，并确认导出,#导出的该工作项的关联关系列显示“合并”
工作项-导出关联工作项：导出关联关系为“缺陷转需求”的关联工作项,P1,"1、用户拥有缺陷工作项「导出工作项列表」权限
2、数据准备：一个工单工作项关联工作项时，选择关联关系为“缺陷转需求”
3、进入项目A-工单工作项-更多按钮-导出工作项-“选择表头导出内容”弹框",#在导出弹框，勾选“导出关联工作项”，并确认导出,#导出结果，该工作项的关联关系为“缺陷转需求”
工作项-导出关联工作项：导出关联关系为“需求拆解任务”的关联工作项,P1,"1、用户拥有需求工作项「导出工作项列表」权限
2、数据准备：一个任务工作项关联工作项时，选择关联关系为“需求拆解任务”
3、进入项目A-任务工作项-更多按钮-导出工作项-“选择表头导出内容”弹框",#在导出弹框，勾选“导出关联工作项”，并确认导出,#导出结果中，该条工作项的关联关系是“需求拆解任务”
工作项-导出关联工作项：导出关联关系为“自定义关联关系类型”的关联工作项,P1,"1、已经在配置中心-项目管理设置-关联关系类型-新增了自定义关联关系类型
2、用户拥有关联工作项「导出工作项列表」权限
3、进入项目A-任务工作项-更多按钮-导出工作项-“选择表头导出内容”弹框",#导出弹框，勾选“导出关联工作项”，并确认导出,#导出文件的关联工作项，“关联关系”列为自定义关联关系
工作项-导出关联工作项：检查导出结果中的“关联方”字段,P1,"1、用户拥有关联工作项「导出工作项列表」权限
2、存在“任务1”，用这个任务去关联工作项B
3、进入项目A-工作项-更多-导出工作项",#在导出工作项弹框中，勾选导出关联工作项，并确认导出,#导出文件中，查看关联工作项B的“关联方”字段为“任务1”
工作项-导出关联工作项：导出结果中的关联方含有特殊字符,P2,"1、该工作项标题含有汉字，字母，字符串，英文，数字，特殊字符
2、用户拥有关联工作项「导出工作项列表」权限
3、进入项目A-工作项-更多按钮-导出工作项-“选择表头导出内容”弹框",#导出关联工作项，查看“关联方”字段,#“关联方”显示的是该工作项对应的标题，反转义，无乱码
工作项-导出关联工作项：检查导出关联工作项排序,P1,"1、用户拥有关联工作项「导出工作项列表」权限
2、操作路径：项目A-任务工作项-更多按钮-导出工作项-“选择表头导出内容”弹框",#在导出弹框，勾选“导出关联工作项”，并确认导出,#关联工作项排序和工作项详情中“关联内容”中排序一致
工作项-导出关联工作项：不同关联关系的关联工作项重复的处理,P2,"1、前提步骤：一个工作项，关联工作项A时选择关联关系A，再关联一次选择关联关系B（两个关联工作项都为同一工作项，仅关联关系不同。）
2、进入项目A-工作项-右上角更多-导出工作项-”选择表头导出内容“弹框",#在导出弹框，勾选“导出关联工作项”，并导出,#1、导出结果中两条纪录都存在，分别是：关联关系A、关联关系B
工作项-导出关联工作项：导出的标题顺序改变,P2,"1、用户拥有关联工作项「导出工作项列表」权限
2、进入项目A-工作项-更多按钮-导出工作项-“选择表头导出内容”弹框","#在排序是改变标题的顺序
#排序中标题位置为第一个
#排序中标题位置为任意中间位置
#排序中标题位置为最后一个","#导出的关联工作项：“关联关系”和“关联方”这两列同步跟随在“标题”列后
#导出的关联工作项的：第一个属性为标题，第二个属性为关联关系，第三个属性关联方
#导出的关联工作项的：标题、关联关系、关联方这三个属性紧挨着显示，“关联关系”和“关联方”这两列同步跟随在“标题”列后
#导出的关联工作项的：倒数第三个属性为标题，倒数第二个属性为关联关系，倒数第一个属性关联方"
工作项-导出关联工作项：在项目下的工作项，成功导出关联工作项,P0,"1、用户拥有关联工作项「导出工作项列表」权限
2、关联工作项有属性A、属性B，而工作项没有这两个属性
3、进入项目A-工作项-右上角更多-导出工作项-”选择表头导出内容“弹框","#检查“导出关联工作项”按钮是否存在
#勾选“导出关联工作项”
#在“可选属性”中，选择属性A、属性B
#在导出弹框中，点击“确认”按钮
#打开csv文件，检查关联工作项数据","#1、存在“导出关联工作项”按钮。位置在“可选属性”右侧，间距15px
2、对齐方式：以左侧计数为基准垂直居中对齐
#关联的工作项属性添加到自定义属性或系统属性中
#属性A、属性B添加到“已选属性”中
#导出弹框消失，并下载csv格式文件
#1、工作项下紧跟关联工作项
2、关联工作项属性、关联关系和关联方紧跟到标题后面，都完整展示，且数据正确"
工作项-导出关联工作项：在项目下的筛选器，成功导出关联工作项,P0,"1、用户拥有关联工作项「导出工作项列表」权限
2、关联工作项有属性A、属性B，而工作项没有这两个属性
3、进入项目A-筛选器-右上角更多-导出工作项-”选择表头导出内容“弹框","#检查“导出关联工作项”按钮是否存在
#勾选“导出关联工作项”
#在“可选属性”中，选择属性A、属性B
#在导出弹框中，点击“确认”按钮
#打开csv文件，检查关联工作项数据","#1、存在“导出关联工作项”按钮。位置在“可选属性”右侧，间距15px
2、对齐方式：以左侧计数为基准垂直居中对齐
#关联的工作项属性添加到自定义属性或系统属性中
#属性A、属性B添加到“已选属性”中
#导出弹框消失，并下载csv格式文件
#1、工作项下紧跟关联工作项
2、关联工作项属性、关联关系和关联方紧跟到标题后面，都完整展示，且数据正确"
工作项-导出关联工作项：在我的工作台-筛选器下，成功导出关联工作项,P0,"1、用户拥有关联工作项「导出工作项列表」权限
2、关联工作项有属性A、属性B，而工作项没有这两个属性
3、进入我的工作台-筛选器-右上角更多-导出工作项-”选择表头导出内容“弹框","#检查“导出关联工作项”按钮是否存在
#勾选“导出关联工作项”
#在“可选属性”中，选择属性A、属性B
#在导出弹框中，点击“确认”按钮
#打开csv文件，检查关联工作项数据","#1、存在“导出关联工作项”按钮。位置在“可选属性”右侧，间距15px
2、对齐方式：以左侧计数为基准垂直居中对齐
#关联的工作项属性添加到自定义属性或系统属性中
#属性A、属性B添加到“已选属性”中
#导出弹框消失，并下载csv格式文件
#1、工作项下紧跟关联工作项
2、关联工作项属性、关联关系和关联方紧跟到标题后面，都完整展示，且数据正确"
